"Date","StateOfOccurrence","Location","Model","Registration","Operator","StateOfOperator","StateOfRegistry","FlightPhase","Class","Fatalities","Over2250","Over5700","ScheduledCommercial","InjuryLevel","TypeDesignator","Helicopter","Airplane","Engines","EngineType","Official","OccCats","Risk","Year"
"""2008-02-21T00:00:00.000Z""","USA","","Beechcraft Corp Baron (Beech 58)","N93DF","Private US Operator","","USA","Taxi","Accident",0,true,false,false,"None","BE58",false,true,2,"Piston","","[]","RS",2008
"""2008-02-21T00:00:00.000Z""","USA","Aniak","LEARJET 35","N351AS","Chipola Aviation Inc",,"USA","Landing","Accident",0,true,true,false,"None","LJ35",false,true,2,"Jet","","[""ARC""]","RS",2008
"""2008-02-22T00:00:00.000Z""","USA","Kayenta","RAYTHEON","N305PC","Peabody Western Coal Company",,"USA","Landing","Accident",0,true,true,false,"Serious","TEX2",false,true,1,"Turboprop","","[""RE""]","RS",2008
"""2008-02-22T00:00:00.000Z""","USA","","Piper Aircraft Inc PA-34 Seneca","N113GD","Private US Operator","","USA","Take-off","Accident",0,true,false,false,"None","PA34",false,true,2,"Piston","","[]","RS",2008
"""2008-02-22T00:00:00.000Z""","USA","Valdosta , Georgia","BOEING 737","N551WN","United States Southwest Airlines Co. (San Antonio, Tx)","USA","USA","Approach","Accident",0,true,true,true,"Serious","B37M",,true,2,"Jet",true,"[""TURB""]","TURB",2008
"""2008-02-23T00:00:00.000Z""","USA","","Piper Aircraft Inc PA-34 Seneca","N852AT","US Aviation Academy","","USA","Landing","Accident",0,true,false,false,"None","PA34",false,true,2,"Piston","","[]","RS",2008
"""2008-02-28T00:00:00.000Z""","USA","Brookhaven , Mississippi","BEECH 55","N4265S","",,"USA","Landing","Accident",0,true,false,"","None","BE55",false,true,2,"Piston","","[""ARC""]","RS",2008
"""2008-02-29T00:00:00.000Z""","USA","","Sikorsky (Schweizer) Hughes 269","N958CP","L J Air Corp","","USA","Manoeuvring","Accident",0,false,false,false,"None","H269",true,false,1,"Piston","","[]","",2008
"""2008-03-02T00:00:00.000Z""","USA","Sherman","NORTH AMERICAN","N8523A","",,"USA","En route","Accident",0,true,false,"","None","B25",false,true,2,"Piston","","[""SCF-PP""]","SCF",2008
"""2008-03-03T00:00:00.000Z""","USA","","Piper Aircraft Inc PA-34 Seneca","N44730","Private US Operator","","USA","Landing","Accident",0,true,false,false,"None","PA34",false,true,2,"Piston","","[]","RS",2008
